longitude	latitude	p1901_1930	p1911_1940	p1921_1950	p1931_1960	p1941_1970	p1951_1980	p1961_1990	p1971_2000	p1981_2010
-179.75	71.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-179.75	68.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-179.75	68.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-179.75	67.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-179.75	67.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-179.75	66.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-179.75	66.25	Dfc	Dfc	Dsc	Dfc	Dfc	Dfc	Dfc	Dfc	Dfc
-179.75	65.75	Dfc	Dfc	Dsc	Dsc	Dfc	Dfc	Dfc	Dfc	Dfc
-179.75	65.25	Dfc	Dsc	Dsc	Dsc	Dfc	Dfc	Dfc	Dfc	Dfc
-179.75	-16.75	Af	Af	Af	Af	Af	Af	Af	Af	Af
-179.75	-84.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.75	-85.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.75	-85.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.75	-86.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.75	-86.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.75	-87.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.75	-87.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.75	-88.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.75	-88.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.75	-89.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.75	-89.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.25	71.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-179.25	68.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-179.25	68.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-179.25	67.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-179.25	67.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-179.25	66.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-179.25	-84.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.25	-85.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.25	-85.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.25	-86.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.25	-86.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.25	-87.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.25	-87.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.25	-88.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.25	-88.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.25	-89.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.25	-89.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-178.75	71.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-178.75	68.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-178.75	67.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-178.75	67.25	ET	ET	ET	ET	Dfc	Dfc	Dfc	Dfc	ET
-178.75	66.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-178.75	66.25	ET	ET	ET	ET	ET	Dfc	Dfc	Dfc	Dfc
-178.75	-84.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-178.75	-85.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-178.75	-85.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-178.75	-86.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-178.75	-86.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-178.75	-87.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-178.75	-87.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-178.75	-88.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-178.75	-88.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-178.75	-89.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-178.75	-89.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-178.25	71.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-178.25	68.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-178.25	67.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-178.25	67.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-178.25	66.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-178.25	66.25	Dfc	Dfc	Dsc	Dfc	Dfc	Dfc	Dfc	Dfc	Dfc
-178.25	65.75	Dfc	Dfc	Dsc	Dfc	Dfc	Dfc	Dfc	Dfc	Dfc
-178.25	-84.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-178.25	-85.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-178.25	-85.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-178.25	-86.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-178.25	-86.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-178.25	-87.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-178.25	-87.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-178.25	-88.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-178.25	-88.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-178.25	-89.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-178.25	-89.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-177.75	71.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-177.75	68.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-177.75	67.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-177.75	67.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-177.75	66.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-177.75	66.25	ET	ET	ET	ET	ET	Dfc	Dfc	Dfc	ET
-177.75	65.75	ET	ET	ET	ET	ET	Dfc	Dfc	Dfc	Dfc
-177.75	-84.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-177.75	-85.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-177.75	-85.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-177.75	-86.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-177.75	-86.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-177.75	-87.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-177.75	-87.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-177.75	-88.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-177.75	-88.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-177.75	-89.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-177.75	-89.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-177.25	67.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-177.25	67.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-177.25	66.75	ET	ET	ET	ET	ET	Dfc	Dfc	Dfc	ET
-177.25	66.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-177.25	65.75	ET	ET	ET	ET	ET	Dfc	Dfc	Dfc	Dfc
-177.25	51.75	ET	ET	Cfc	Cfc	Cfc	ET	ET	ET	ET
-177.25	-84.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-177.25	-85.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-177.25	-85.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-177.25	-86.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-177.25	-86.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-177.25	-87.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-177.25	-87.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-177.25	-88.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-177.25	-88.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-177.25	-89.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-177.25	-89.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-176.75	67.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-176.75	67.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-176.75	66.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-176.75	66.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-176.75	65.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-176.75	51.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-176.75	-84.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-176.75	-85.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-176.75	-85.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-176.75	-86.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-176.75	-86.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-176.75	-87.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-176.75	-87.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-176.75	-88.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-176.75	-88.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-176.75	-89.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-176.75	-89.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-176.25	67.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-176.25	67.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-176.25	66.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-176.25	66.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-176.25	65.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-176.25	-43.75	Cfb	Cfb	Cfb	Cfb	Cfb	Cfb	Cfb	Cfb	Cfb
-176.25	-44.25	Cfb	Cfb	Cfb	Cfb	Cfb	Cfb	Cfb	Cfb	Cfb
-176.25	-84.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-176.25	-85.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-176.25	-85.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-176.25	-86.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-176.25	-86.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-176.25	-87.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-176.25	-87.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-176.25	-88.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-176.25	-88.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-176.25	-89.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-176.25	-89.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-175.75	67.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-175.75	67.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-175.75	66.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-175.75	66.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-175.75	65.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-175.75	65.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-175.75	-84.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-175.75	-85.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-175.75	-85.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-175.75	-86.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-175.75	-86.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-175.75	-87.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-175.75	-87.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-175.75	-88.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-175.75	-88.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-175.75	-89.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-175.75	-89.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-175.25	67.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-175.25	66.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-175.25	66.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-175.25	65.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-175.25	65.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-175.25	-84.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-175.25	-85.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-175.25	-85.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-175.25	-86.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-175.25	-86.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-175.25	-87.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-175.25	-87.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-175.25	-88.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-175.25	-88.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-175.25	-89.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-175.25	-89.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-174.75	67.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-174.75	66.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-174.75	65.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-174.75	65.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-174.75	-84.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-174.75	-85.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-174.75	-85.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-174.75	-86.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-174.75	-86.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-174.75	-87.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-174.75	-87.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-174.75	-88.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-174.75	-88.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-174.75	-89.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-174.75	-89.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-174.25	66.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-174.25	65.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-174.25	65.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-174.25	64.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-174.25	-84.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-174.25	-85.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-174.25	-85.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-174.25	-86.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-174.25	-86.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-174.25	-87.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-174.25	-87.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-174.25	-88.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-174.25	-88.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-174.25	-89.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-174.25	-89.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-173.75	66.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-173.75	66.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-173.75	65.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-173.75	65.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-173.75	64.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-173.75	-84.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-173.75	-85.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-173.75	-85.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-173.75	-86.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-173.75	-86.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-173.75	-87.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-173.75	-87.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-173.75	-88.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-173.75	-88.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-173.75	-89.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-173.75	-89.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-173.25	66.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-173.25	66.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-173.25	65.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-173.25	65.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-173.25	64.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-173.25	-84.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-173.25	-85.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-173.25	-85.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-173.25	-86.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-173.25	-86.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-173.25	-87.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-173.25	-87.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-173.25	-88.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-173.25	-88.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-173.25	-89.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-173.25	-89.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-172.75	66.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-172.75	66.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-172.75	65.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-172.75	65.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-172.75	-84.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-172.75	-85.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-172.75	-85.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-172.75	-86.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-172.75	-86.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-172.75	-87.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-172.75	-87.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-172.75	-88.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-172.75	-88.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-172.75	-89.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-172.75	-89.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-172.25	66.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-172.25	66.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-172.25	65.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-172.25	65.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-172.25	64.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-172.25	-13.75	Af	Af	Af	Af	Af	Af	Af	Af	Af
-172.25	-84.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-172.25	-85.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-172.25	-85.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-172.25	-86.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-172.25	-86.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-172.25	-87.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-172.25	-87.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-172.25	-88.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-172.25	-88.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-172.25	-89.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-172.25	-89.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-171.75	66.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-171.75	66.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-171.75	65.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-171.75	-84.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-171.75	-85.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-171.75	-85.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-171.75	-86.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-171.75	-86.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-171.75	-87.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-171.75	-87.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-171.75	-88.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-171.75	-88.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-171.75	-89.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-171.75	-89.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-171.25	66.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-171.25	-84.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-171.25	-85.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-171.25	-85.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-171.25	-86.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-171.25	-86.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-171.25	-87.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-171.25	-87.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-171.25	-88.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-171.25	-88.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-171.25	-89.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-171.25	-89.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-170.75	66.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-170.75	65.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-170.75	-84.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-170.75	-85.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-170.75	-85.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-170.75	-86.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-170.75	-86.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-170.75	-87.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-170.75	-87.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-170.75	-88.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-170.75	-88.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-170.75	-89.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-170.75	-89.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-170.25	66.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-170.25	63.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-170.25	-84.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-170.25	-85.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-170.25	-85.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-170.25	-86.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-170.25	-86.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-170.25	-87.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-170.25	-87.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-170.25	-88.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-170.25	-88.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-170.25	-89.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-170.25	-89.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-169.75	63.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-169.75	-84.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-169.75	-85.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-169.75	-85.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-169.75	-86.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-169.75	-86.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-169.75	-87.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-169.75	-87.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-169.75	-88.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-169.75	-88.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-169.75	-89.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-169.75	-89.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-169.25	63.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-169.25	-84.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-169.25	-85.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-169.25	-85.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-169.25	-86.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-169.25	-86.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-169.25	-87.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-169.25	-87.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-169.25	-88.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-169.25	-88.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-169.25	-89.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-169.25	-89.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-168.75	63.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-168.75	-84.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-168.75	-85.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-168.75	-85.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-168.75	-86.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-168.75	-86.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-168.75	-87.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-168.75	-87.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-168.75	-88.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-168.75	-88.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-168.75	-89.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-168.75	-89.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-168.25	-84.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-168.25	-85.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-168.25	-85.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-168.25	-86.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-168.25	-86.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-168.25	-87.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-168.25	-87.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-168.25	-88.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-168.25	-88.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-168.25	-89.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-168.25	-89.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-167.75	-85.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-167.75	-85.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-167.75	-86.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-167.75	-86.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-167.75	-87.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
