Latitude,Longitude,Elevation
6344N,02235E,13
6343N,02309E,25
6355N,02458E,81
6420N,02336E,10
6326N,02104E,8
6303N,02146E,4
6306N,02302E,44
6305N,02552E,132
6301N,02748E,102
6241N,03057E,165
6253N,02106E,13
6232N,02413E,161
6242N,02250E,92
6240N,02938E,117
6224N,02541E,145
6151N,02228E,136
6125N,02335E,112
6151N,02448E,145
6144N,02718E,138
6210N,02752E,87
6157N,02857E,95
6128N,02148E,17
6105N,02809E,106
6108N,02122E,10
6049N,02330E,103
6058N,02538E,84
6054N,02656E,100
6007N,01954E,6
6031N,02216E,59
6024N,02346E,86
6019N,02458E,56
6015N,02503E,28
6022N,02658E,12
5958N,01958E,10
5947N,02123E,7
5946N,02257E,11
5956N,02401E,21
5959N,02536E,19
6006N,02504E,5
6018N,02045E,5
6018N,01908E,11
6051N,00053W,53
6045N,00051W,15
5953N,00118W,5
6032N,00123W,228
6008N,00111W,84
6027N,00116W,8
6026N,00118W,22
6044N,00049W,285
6035N,00116W,22
5932N,00138W,59
5922N,00225W,11
5905N,00424W,16
5907N,00549W,98
6009N,00204W,22
6007N,00204W,13
5857N,00254W,21
5709N,00719W,6
5728N,00722W,6
5658N,00641W,10
5831N,00616W,23
5813N,00619W,13
5726N,00646W,92
5743N,00453W,265
5752N,00538W,11
5702N,00727W,3
5650N,00506W,20
5646N,00603W,45
5649N,00458W,1130
5817N,00426W,80
5652N,00442W,237
5838N,00500W,112
5836N,00401W,32
5852N,00323W,20
5716N,00429W,21
5741N,00410W,3
5732N,00403W,9
5642N,00401W,145
5749N,00358W,4
5712N,00350W,220
5707N,00338W,1245
5739N,00334W,7
5654N,00338W,560
5743N,00319W,13
5721N,00321W,215
5720N,00338W,335
5837N,00333W,10
5827N,00305W,39
5827N,00306W,39
5819N,00317W,85
5705N,00250W,140
5704N,00232W,80
5651N,00216W,134
5712N,00213W,65
5730N,00146W,5
5742N,00207W,4
5630N,00653W,12
5540N,00630W,23
5541N,00615W,18
5526N,00542W,13
5625N,00528W,4
5500N,00509W,15
5542N,00518W,8
5451N,00457W,12
5530N,00435W,20
5531N,00435W,28
5442N,00425W,40
5558N,00448W,10
5552N,00426W,8
5619N,00344W,35
5552N,00352W,275
5448N,00400W,114
5503N,00339W,16
5537N,00345W,237
5627N,00322W,121
5542N,00223W,112
5557N,00321W,41
5542N,00313W,195
5519N,00312W,242
5627N,00301W,4
5503N,00233W,325
5626N,00252W,5
5623N,00252W,12
5618N,00235W,6
5522N,00231W,308
5555N,00208W,75
5405N,00438W,17
5416N,00428W,615
5425N,00422W,9
5456N,00309W,7
5431N,00336W,124
5437N,00309W,81
5419N,00324W,9
5407N,00315W,15
5446N,00319W,61
5456N,00258W,28
5456N,00257W,26
5503N,00234W,285
5430N,00241W,249
5434N,00225W,227
5441N,00227W,847
5442N,00227W,847
5517N,00217W,207
5449N,00205W,434
5525N,00136W,23
5518N,00148W,158
5449N,00143W,244
5502N,00142W,81
5458N,00137W,50
5459N,00136W,47
5454N,00123W,56
5418N,00132W,40
5408N,00125W,35
5501N,00125W,30
5431N,00125W,37
5412N,00123W,28
5403N,00115W,16
5438N,00108W,12
5422N,00040W,262
5429N,00036W,60
5406N,00010W,15
5315N,00432W,11
5323N,00422W,114
5306N,00356W,216
5304N,00405W,1070
5320N,00330W,15
5315N,00330W,77
5313N,00313W,263
5330N,00304W,8
5346N,00302W,10
5310N,00259W,10
5333N,00255W,56
5320N,00251W,26
5337N,00231W,440
5321N,00216W,78
5302N,00205W,228
5358N,00202W,158
5332N,00153W,522
5332N,00152W,524
5349N,00152W,262
5337N,00140W,259
5352N,00139W,208
5348N,00133W,47
5300N,00115W,117
5350N,00112W,9
5329N,00100W,17
5258N,00034W,112
5318N,00033W,61
5335N,00021W,31
5310N,00031W,70
5302N,00030W,67
5352N,00026W,6
5329N,00005E,24
5330N,00004E,3
5340N,00007E,10
5327N,00012W,108
5305N,00010W,7
5305N,00016E,5
5319N,00011E,14
5257N,00434W,37
5249N,00438W,253
5300N,00405W,53
5233N,00404W,22
5247N,00444W,95
5249N,00408W,9
5256N,00356W,193
5257N,00325W,228
5245N,00328W,360
5220N,00342W,244
5248N,00240W,76
5238N,00218W,83
5248N,00241W,74
5252N,00232W,83
5250N,00120W,94
5244N,00039W,138
5237N,00029W,75
5237N,00028W,84
5252N,00009E,3
5239N,00034E,23
5251N,00046E,65
5257N,00108E,21
5234N,00051E,59
5238N,00119E,18
5246N,00121E,20
5241N,00141E,14
5525N,00400W,92
5208N,00434W,134
5221N,00357W,63
5220N,00329W,279
5204N,00337W,309
5226N,00307W,215
5215N,00253W,99
5202N,00251W,77
5207N,00218W,46
5209N,00202W,32
5227N,00144W,99
