Latitude,Longitude,Distance
83.22,-42.14,0.186157
83.22,-42.1,0.216833
83.22,-42.06,0.247141
83.22,-42.02,0.277282
83.22,-41.54,0.443061
83.22,-41.5,0.208288
83.22,-41.46,0.0268117
83.22,-41.42,0.262239
83.22,-41.38,0.497971
83.22,-41.3,0.447225
83.22,-41.26,0.206777
83.22,-41.22,0.0333227
83.22,-41.18,0.27312
83.22,-40.94,0.197334
83.22,-40.9,0.261557
83.22,-40.5,0.464716
83.22,-40.46,0.109398
83.22,-40.42,0.246191
83.22,-39.86,0.487612
83.22,-39.82,0.0674773
83.22,-39.78,0.352878
83.22,-27.14,0.345309
83.22,-27.1,0.00389201
83.22,-27.06,0.352836
83.18,-75.9,0.350991
83.18,-75.86,0.176279
83.18,-75.82,0.00191436
83.18,-75.78,0.172103
83.18,-75.74,0.345773
83.18,-72.06,0.0225474
83.18,-44.74,0.48383
83.18,-44.7,0.159868
83.18,-44.66,0.164386
83.18,-44.62,0.48893
83.18,-44.02,0.390383
83.18,-43.98,0.148342
83.18,-43.94,0.126195
83.18,-42.86,0.375894
83.18,-42.82,0.140508
83.18,-42.5,0.0869622
83.18,-42.46,0.288487
83.18,-42.42,0.257691
83.18,-42.38,0.226531
83.18,-42.34,0.195001
83.18,-42.3,0.163103
83.18,-42.26,0.130839
83.18,-42.22,0.098211
83.18,-42.18,0.0652127
83.18,-42.14,0.0318474
83.18,-42.1,0.00188494
83.18,-42.06,0.035981
83.18,-42.02,0.0704472
83.18,-41.98,0.10528
83.18,-41.94,0.203529
83.18,-41.58,0.464228
83.18,-41.54,0.384204
83.18,-41.5,0.304544
83.18,-41.46,0.225247
83.18,-41.42,0.146314
83.18,-41.38,0.067752
83.18,-41.34,0.0123532
83.18,-41.3,0.30893
83.18,-40.74,0.0904635
83.18,-40.7,0.372069
83.18,-40.1,0.385652
83.18,-40.06,0.328906
83.18,-40.02,0.27179
83.18,-39.98,0.214225
83.18,-39.94,0.156227
83.18,-39.9,0.104653
83.18,-39.78,0.275262
83.18,-39.74,0.236623
83.18,-39.34,0.455813
83.18,-39.3,0.194721
83.18,-39.26,0.0666905
83.18,-39.22,0.328397
83.18,-38.78,0.47981
83.18,-38.74,0.427772
83.18,-38.7,0.375362
83.18,-38.66,0.322587
83.18,-38.62,0.269446
83.18,-38.58,0.215944
83.18,-38.54,0.162072
83.18,-38.5,0.0493147
83.18,-38.46,0.457019
83.18,-31.82,0.303222
83.18,-31.78,0.0836453
83.18,-31.74,0.135607
83.18,-31.7,0.0980674
83.18,-31.66,0.0452731
83.18,-31.62,0.00788449
83.18,-31.58,0.0614105
83.18,-31.54,0.1153
83.18,-31.5,0.169558
83.18,-31.46,0.224181
83.18,-31.42,0.279168
83.18,-31.38,0.334523
83.18,-31.34,0.390241
83.18,-31.3,0.446327
83.18,-31.26,0.471416
83.18,-31.22,0.369441
83.18,-31.18,0.267832
83.18,-31.14,0.16658
83.18,-31.1,0.0656928
83.18,-31.06,0.0348378
83.18,-31.02,0.135003
83.18,-30.98,0.234811
83.18,-30.94,0.334254
83.18,-30.9,0.43334
83.18,-30.22,0.473484
83.18,-30.18,0.417013
83.18,-30.14,0.360175
83.18,-30.1,0.302973
83.18,-30.06,0.245403
83.18,-30.02,0.187471
83.18,-29.98,0.130803
83.18,-29.94,0.0752065
83.18,-29.9,0.089942
83.18,-29.86,0.274629
83.18,-29.82,0.45967
83.18,-27.82,0.307174
83.18,-27.78,0.0380391
83.18,-27.74,0.230791
83.18,-27.7,0.499292
83.14,-76.86,0.455474
83.14,-76.82,0.271386
83.14,-76.78,0.0876448
83.14,-76.74,0.0957492
83.14,-76.7,0.278796
83.14,-76.66,0.46146
83.14,-72.02,0.165438
83.14,-71.98,0.232322
83.14,-46.5,0.357252
