"Latitude","Longitude","Elevation"
5819,-317,85
5705,-250,140
5704,-232,80
5651,-216,134
5712,-213,65
5730,-146,5
5742,-207,4
5630,-653,12
5540,-630,23
5541,-615,18
5526,-542,13
5625,-528,4
5500,-509,15
5542,-518,8
5451,-457,12
5530,-435,20
5531,-435,28
5442,-425,40
5558,-448,10
5552,-426,8
5619,-344,35
5552,-352,275
5448,-400,114
5503,-339,16
5537,-345,237
5627,-322,121
5542,-223,112
5557,-321,41
5542,-313,195
5519,-312,242
5627,-301,4
5503,-233,325
5626,-252,5
5623,-252,12
5618,-235,6
5522,-231,308
5555,-208,75
5405,-438,17
5416,-428,615
5425,-422,9
5456,-309,7
5431,-336,124
5437,-309,81
5419,-324,9
5407,-315,15
5446,-319,61
5456,-258,28
5456,-257,26
5503,-234,285
5430,-241,249
5434,-225,227
5441,-227,847
5442,-227,847
5517,-217,207
5449,-205,434
5525,-136,23
5518,-148,158
5449,-143,244
5502,-142,81
5458,-137,50
5459,-136,47
5454,-123,56
5418,-132,40
5408,-125,35
5501,-125,30
5431,-125,37
5412,-123,28
5403,-115,16
5438,-108,12
5422,-40,262
5429,-36,60
5406,-10,15
5315,-432,11
5323,-422,114
5306,-356,216
5304,-405,1070
5320,-330,15
5315,-330,77
5313,-313,263
5330,-304,8
5346,-302,10
5310,-259,10
5333,-255,56
5320,-251,26
5337,-231,440
5321,-216,78
5302,-205,228
5358,-202,158
5332,-153,522
5332,-152,524
5349,-152,262
5337,-140,259
5352,-139,208
5348,-133,47
5300,-115,117
5350,-112,9
5329,-100,17
5258,-34,112
5318,-33,61
5335,-21,31
5310,-31,70
5302,-30,67
5352,-26,6
5329,5,24
5330,4,3
5340,7,10
5327,-12,108
5305,-10,7
5305,16,5
5319,11,14
5257,-434,37
5249,-438,253
5300,-405,53
5233,-404,22
5247,-444,95
5249,-408,9
5256,-356,193
5257,-325,228
5245,-328,360
5220,-342,244
5248,-240,76
5238,-218,83
5248,-241,74
5252,-232,83
5250,-120,94
5244,-39,138
5237,-29,75
5237,-28,84
5252,9,3
5239,34,23
5251,46,65
5257,108,21
5234,51,59
5238,119,18
5246,121,20
5241,141,14
5525,-400,92
5208,-434,134
5221,-357,63
5220,-329,279
5204,-337,309
5226,-307,215
5215,-253,99
5202,-251,77
5207,-218,46
5209,-202,32
5227,-144,99
5222,-129,82
5222,-120,107
5204,-37,111
5213,-30,85
5222,-13,49
5222,-13,49
5221,-7,41
5216,4,13
5212,11,15
5222,29,10
5222,29,10
5225,34,10
5225,34,10
5220,46,54
5207,58,87
5258,-59,55
5226,137,22
5205,124,29
5208,126,26
5201,-17,95
5142,-503,37
5143,-422,6
5145,-431,5
5134,-359,35
5136,-404,90
5155,-319,160
5145,-320,372
5138,-318,194
5152,-329,457
5131,-235,69
5154,-210,29
5140,-203,133
5141,-147,87
5152,-141,215
5145,-135,88
5141,-119,80
5156,-115,134
5137,-106,57
5137,-105,63
5138,-46,75
5133,-25,40
5152,-22,160
5141,-32,138
5153,14,106
5146,-15,77
5158,30,98
5134,42,15
5133,51,3
5133,50,2
5140,106,8
5151,117,6
5101,-430,126
5105,-409,8
5105,-336,347
5112,-332,83
5124,-321,67
5124,-326,50
5129,-311,9
5123,-243,189
5128,-236,11
5130,-159,156
5112,-148,133
5123,-117,122
5115,-146,139
5110,-145,124
5109,-134,91
5115,-57,123
5114,-57,123
5123,-47,74
5123,-48,75
5117,-46,72
5119,2,183
5117,-47,65
5130,-30,5
5129,-27,24
