Latitude,Longitude,Elevation
63.43,23.09,25
63.55,24.58,81
64.2,23.36,10
63.26,21.04,8
63.03,21.46,4
63.06,23.02,44
63.05,25.52,132
63.01,27.48,102
62.41,30.57,165
62.53,21.06,13
62.32,24.13,161
62.42,22.5,92
62.4,29.38,117
62.24,25.41,145
61.51,22.28,136
61.25,23.35,112
61.51,24.48,145
61.44,27.18,138
62.1,27.52,87
61.57,28.57,95
61.28,21.48,17
61.05,28.09,106
61.08,21.22,10
60.49,23.3,103
60.58,25.38,84
60.54,26.56,100
60.07,19.54,6
60.31,22.16,59
60.24,23.46,86
60.19,24.58,56
60.15,25.03,28
60.22,26.58,12
59.58,19.58,10
59.47,21.23,7
59.46,22.57,11
59.56,24.01,21
59.59,25.36,19
60.06,25.04,5
60.18,20.45,5
60.18,19.08,11
60.51,-0.53,53
60.45,-0.51,15
59.53,-1.18,5
60.32,-1.23,228
60.08,-1.11,84
60.27,-1.16,8
60.26,-1.18,22
60.44,-0.49,285
60.35,-1.16,22
59.32,-1.38,59
59.22,-2.25,11
59.05,-4.24,16
59.07,-5.49,98
60.09,-2.04,22
60.07,-2.04,13
58.57,-2.54,21
57.09,-7.19,6
57.28,-7.22,6
56.58,-6.41,10
58.31,-6.16,23
58.13,-6.19,13
57.26,-6.46,92
57.43,-4.53,265
57.52,-5.38,11
57.02,-7.27,3
56.5,-5.06,20
56.46,-6.03,45
56.49,-4.58,1130
58.17,-4.26,80
56.52,-4.42,237
58.38,-5,112
58.36,-4.01,32
58.52,-3.23,20
57.16,-4.29,21
57.41,-4.1,3
57.32,-4.03,9
56.42,-4.01,145
57.49,-3.58,4
57.12,-3.5,220
57.07,-3.38,1245
57.39,-3.34,7
56.54,-3.38,560
57.43,-3.19,13
57.21,-3.21,215
57.2,-3.38,335
58.37,-3.33,10
58.27,-3.05,39
58.27,-3.06,39
58.19,-3.17,85
57.05,-2.5,140
57.04,-2.32,80
56.51,-2.16,134
57.12,-2.13,65
57.3,-1.46,5
57.42,-2.07,4
56.3,-6.53,12
55.4,-6.3,23
55.41,-6.15,18
55.26,-5.42,13
56.25,-5.28,4
55,-5.09,15
55.42,-5.18,8
54.51,-4.57,12
55.3,-4.35,20
55.31,-4.35,28
54.42,-4.25,40
55.58,-4.48,10
55.52,-4.26,8
56.19,-3.44,35
55.52,-3.52,275
54.48,-4,114
55.03,-3.39,16
55.37,-3.45,237
56.27,-3.22,121
55.42,-2.23,112
55.57,-3.21,41
55.42,-3.13,195
55.19,-3.12,242
56.27,-3.01,4
55.03,-2.33,325
56.26,-2.52,5
56.23,-2.52,12
56.18,-2.35,6
55.22,-2.31,308
55.55,-2.08,75
54.05,-4.38,17
54.16,-4.28,615
54.25,-4.22,9
54.56,-3.09,7
54.31,-3.36,124
54.37,-3.09,81
54.19,-3.24,9
54.07,-3.15,15
54.46,-3.19,61
54.56,-2.58,28
54.56,-2.57,26
55.03,-2.34,285
54.3,-2.41,249
54.34,-2.25,227
54.41,-2.27,847
54.42,-2.27,847
55.17,-2.17,207
54.49,-2.05,434
55.25,-1.36,23
55.18,-1.48,158
54.49,-1.43,244
55.02,-1.42,81
54.58,-1.37,50
54.59,-1.36,47
54.54,-1.23,56
54.18,-1.32,40
54.08,-1.25,35
55.01,-1.25,30
54.31,-1.25,37
54.12,-1.23,28
54.03,-1.15,16
54.38,-1.08,12
54.22,-0.4,262
54.29,-0.36,60
54.06,-0.1,15
53.15,-4.32,11
53.23,-4.22,114
53.06,-3.56,216
53.04,-4.05,1070
53.2,-3.3,15
53.15,-3.3,77
53.13,-3.13,263
53.3,-3.04,8
