Latitude,Longitude,Distance,Direction
70.56,-8.4,37.393688825935236,333.3530756108926
59.48,5.21,2.2944306776407823,14.239056898254091
61.27,5.52,12.277903188727866,355.02269793353895
77.0,15.3,2.438295424833649,335.8126156243373
78.55,11.56,1.7297460164239769,230.0255189827277
78.15,15.28,4.617527302051968,316.3240753023003
69.18,16.09,0.39522374838264823,89.99532649170152
69.36,17.5,6.651205267108857,289.6084896840075
69.17,17.46,1.933082288855908,54.86620796025284
69.03,18.33,13.603690191410196,334.113482326629
69.41,18.55,1.1786767887206087,340.6331810013874
74.31,19.01,3.658454025402006,24.217998355612792
69.01,19.17,26.765306338001405,29.10364240933751
70.15,19.3,1.875768229297342,126.33691103627757
70.19,20.09,4.292778427695815,255.03936296468675
69.15,19.59,8.030465101180754,345.78117206932427
69.45,21.02,9.576493623879294,305.58365831948385
70.2,21.28,2.348140548518186,198.73103764786046
70.29,22.09,1.1734561360013218,18.628237299543173
69.5,21.53,27.648156484924428,270.3325191490438
69.47,20.58,8.477600533788628,66.73456908506273
69.01,23.04,89.12966155152336,336.0410559589014
69.59,23.22,39.039643732651555,355.5173311626146
69.35,23.32,64.24883217149964,313.0204991459427
70.4,23.4,3.155854215021675,134.7762280171229
71.06,24.0,4.506106363842005,170.7632244367436
69.22,24.26,90.01533915635352,340.2254915889876
70.04,24.59,13.511971504372223,60.266261124746165
76.3,25.04,17.860417849742657,354.98271089965533
69.28,25.3,87.40373490869476,353.02214794189297
71.04,26.14,3.64565187790215,52.371666023864236
71.01,25.59,2.123164300199597,301.6059303179951
71.02,27.5,1.4465929800272508,89.98108735666682
70.24,28.12,20.362031163367824,349.4550282017254
71.05,28.14,1.822535233768237,307.61646218533735
70.52,29.02,17.9162872972721,29.557082828886507
69.1,29.15,63.759411297925176,12.249463822099415
70.04,29.51,6.828250579366072,251.0724765892142
70.38,29.44,28.916677543853144,22.507420671697844
69.44,29.54,24.512192533823,356.38388257299204
70.42,30.05,13.472087674290325,7.902397501180701
70.21,31.03,8.47187982681085,311.09511336359475
70.22,31.06,8.735662903780026,300.701551675211
65.12,11.0,11.4695904317945,165.7799269245836
65.06,11.42,9.09173504984887,168.05894643522288
67.3,12.05,18.402656000205162,345.23934379823714
67.31,12.06,17.450621062996035,342.9559291552015
65.42,11.51,23.51918847224313,112.0100853711159
65.28,12.13,2.2719562817834076,11.801053819902052
60.25,8.31,70.0599701980197,293.88468253256053
66.46,12.29,8.994494549516682,351.50927719695267
65.58,12.28,0.91940922747951,89.99089460592768
66.24,12.37,6.806044922183677,191.41688814534677
65.48,13.08,14.02683032250463,261.0139775742542
65.11,13.25,25.12799003803588,299.34123166349303
66.56,13.27,3.1357574867827362,315.19329662725977
67.18,13.3,18.97520067230636,89.7972197281664
68.09,13.37,1.668895661946818,311.7943972474003
65.31,14.01,49.71963281781916,269.20463446561166
66.16,13.59,2.2688222254543375,348.5838302872012
66.22,14.18,9.589416561646011,338.10753895330413
67.16,14.22,2.223898532892451,0.0
68.35,14.18,1.1119492664455182,180.0
68.38,14.28,5.082931324117334,151.02248244198086
68.09,14.39,10.219498543056465,348.333612687701
68.15,14.4,4.157572078721978,323.383396277955
68.35,15.01,3.3609453508400575,7.001726177586079
68.42,15.25,4.4987234639605065,270.0511447732188
66.51,15.19,50.376191717661264,248.44298973541328
68.0,15.37,2.26253912253304,10.599652201091544
68.31,16.41,1.1854926540982276,159.70773110015398
68.29,16.53,1.1855551885070814,20.291151430209027
68.17,17.19,8.324346106192266,48.02599686787397
68.28,17.3,2.2238985328910363,0.0
68.54,17.49,0.4068083994132225,89.99534663396071
